,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track_name,album_name,release_date,album_id
0,0.449,0.984,6,-2.98,0,0.121,1.46e-05,0.00863,0.0646,0.298,97.508,07kUg6cP1BYMmBVHroByrA,259773,4,Warning!,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
1,0.454,0.978,5,-3.141,0,0.197,0.000135,0.0,0.333,0.272,145.06,5f2udv7g5tibQ2QvsENzhb,250413,4,NO GOD,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
2,0.451,0.953,1,-3.618,1,0.0902,1.32e-05,0.000604,0.308,0.684,92.5,06iuhDwipJ6f9ePaqH3oH5,203893,4,After Life,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
3,0.517,0.956,2,-3.794,1,0.0902,6.67e-05,0.00487,0.272,0.249,101.994,1HheSSv6mmopp69qqtS6O1,230627,4,Manners,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
4,0.473,0.973,1,-3.625,1,0.262,2.94e-05,0.0423,0.354,0.264,131.964,3wOcp7XrcIHSph9dojzpkq,182427,4,I still seek revenge.,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
5,0.357,0.981,4,-1.969,0,0.168,5.25e-05,0.000202,0.331,0.354,180.091,6X43ykcFKnqEkjfxfuN0xG,187987,4,H-G-K,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
6,0.443,0.979,5,-3.252,1,0.107,4.71e-05,0.0752,0.297,0.431,160.056,5YUC1fY8n5DNUL0m7dN0Xm,273507,4,サヨナキドリ,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
7,0.444,0.975,11,-3.958,0,0.214,5.81e-06,0.6,0.105,0.192,140.066,4QfWxnzSEEcKGlMl1ftgjG,217920,4,Why Why Why,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
8,0.528,0.968,5,-3.53,0,0.118,9.15e-05,2.2e-05,0.4,0.335,120.072,2wl8zqSSQBUoKET6kHZiBS,249333,4,CHEMICAL REACTION,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
9,0.426,0.978,4,-2.311,0,0.0825,1.87e-05,0.111,0.125,0.256,90.034,7dIG57r60N3POeoCuQKU8I,257640,4,Giovanni,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
10,0.487,0.988,11,-2.651,0,0.128,1.54e-05,0.112,0.293,0.493,91.516,1T1TpdiX5fzf41R9ursKLk,196773,4,本懐,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
11,0.489,0.98,11,-3.104,0,0.131,2.26e-05,0.123,0.303,0.269,109.963,6gRu0hL1V9rVeVMY7cCbNT,185613,4,BLACK HOLE,Unseen World,2021-01-20,0XEdRvzR4tstx3PmEpVHll
12,0.547,0.727,4,-3.932,1,0.0296,0.00729,0.0,0.337,0.444,109.974,1RPMTNlyTdGMygZTCQqzqW,257456,4,PAGE,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
13,0.376,0.969,1,-1.707,0,0.15,0.000117,0.000737,0.329,0.33,154.98,5TjZjwpDoQDkcPYHAIkq68,219180,4,glory,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
14,0.536,0.966,4,-3.275,0,0.133,7.28e-05,0.00991,0.13,0.375,120.012,4CfhHipT9pTBx8Btz9FwUC,194308,4,Liberal,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
15,0.301,0.973,8,-1.306,1,0.0994,0.000651,0.0261,0.18,0.267,167.027,6FMVMnB60BagFwMgWMLJU2,224872,4,endless Story,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
16,0.57,0.955,2,-3.051,1,0.0749,0.00139,1.66e-06,0.0862,0.612,109.955,2RcYS9tSBuY74JRuTOOnTR,237788,4,Mirage,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
17,0.552,0.832,11,-5.223,1,0.0351,0.00117,0.0,0.305,0.446,99.994,7Bm5ZGu7UHEoF9QdHRyCpl,259201,4,At the drop of a hat,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
18,0.489,0.977,10,-2.282,0,0.193,0.000905,1.7e-06,0.311,0.221,129.922,7x3sGMFKQfnOwFXdQFd4PG,235002,4,Wonderland,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
19,0.387,0.968,11,-1.331,1,0.0999,5.83e-05,0.00035,0.298,0.487,159.977,0OUvqaXu1kOWblFAN0kVrH,169740,4,azure,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
20,0.497,0.991,5,-2.665,1,0.0953,0.000401,1.86e-06,0.344,0.334,105.0,0BTnb0MQ9TYBTexnOE5VD1,216618,4,Dilemma,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
21,0.502,0.937,0,-2.769,1,0.11,0.000755,5.94e-05,0.0816,0.396,132.079,5doRYkVcu0rPcqpTL9lBe0,226014,4,Bubble,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
22,0.313,0.945,4,-2.581,0,0.103,5.88e-05,0.278,0.317,0.331,186.002,6bSEepp1nqoWzfs1ziJzQJ,235070,4,The Dragon Cries,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
23,0.478,0.951,4,-2.493,0,0.0895,3.09e-05,4.19e-05,0.396,0.543,120.928,3oXyIjd2yXeGJVx44Cahae,222681,4,flying high,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
24,0.455,0.965,2,-3.302,1,0.201,0.000464,1.75e-06,0.17,0.436,152.958,4dOx8CvjaXIja4lgU7LVRl,198393,4,カタルシス,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
25,0.37,0.966,6,-2.325,1,0.142,2.61e-05,0.0895,0.286,0.454,164.919,21ylMQmcFoOtceuAUVfV6j,229620,4,Blooming,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
26,0.327,0.995,11,-2.338,1,0.238,0.000257,0.00117,0.145,0.0826,94.939,2aSj0x2OGZorJYyoY9mIpR,207389,4,輪廻,CONQUEROR,2019-12-11,52B3g7H1XMzW55IT5y5pNf
